dataset_name,seed,lm_acc,pseudo_acc,gt_acc,acc_list,overlap_avg_acc,overlap_avg_confidence,nonoverlap_avg_acc,nonoverlap_avg_confidence
basketball,0,0.6375069560378408,0.6980360065466449,0.9189852700490998,"[0.6317512274959084, 0.6391162029459901, 0.5081833060556464, 0.5900163666121113, 0.6047463175122749, 0.5, 0.44189852700491, 0.47299509001636664, 0.2945990180032733, 0.2078559738134206, 0.10065466448445172]",0.3968253968253968,0.33702667596064995,0.6426784902228285,0.3011733637507606
cdr,0,0.6526690391459075,0.6058206719452172,0.6830729723946073,"[0.524074470361652, 0.5722234110849561, 0.5987588273057993, 0.5647335758613311, 0.5593836935587417, 0.573293387545474, 0.5690134817034025, 0.59940081318211, 0.5996148084742136, 0.6073186389899422, 0.6115985448320137]",0.8115419296663661,0.3571877465998886,0.5840309079201546,0.3365012335538151
census,0,0.6168187227290758,0.6210306492230206,0.8292488176401941,"[0.5890301578527117, 0.5908727965112708, 0.5948037589828634, 0.5927768564584485, 0.6035255819667097, 0.5941895460966771, 0.6130458817025981, 0.6197408021620293, 0.6094220256740986, 0.6147656777839199, 0.6287697315889688]",0.6773378264532435,0.7837664006605397,0.4713031735313977,0.7843210634955736
commercial,0,0.8796507094963356,0.8878068303094984,0.9503735325506937,"[0.692102454642476, 0.6622198505869797, 0.7501334044823906, 0.8193703308431163, 0.8279082177161152, 0.8312433297758804, 0.846718249733191, 0.862059765208111, 0.8984791889007471, 0.9163553895410885, 0.9422358591248666]",0.980904394953002,0.7895032620692934,0.5965431514147035,0.793082908798426
imdb,0,0.7161,0.7476,0.7964,"[0.5264, 0.5692, 0.6488, 0.6924, 0.6696, 0.6968, 0.7324, 0.7092, 0.7236, 0.7208, 0.7352]",0.7645895153313551,0.4351760207772376,0.5997263085870681,0.4322472896580215
mushroom,0,0.8726153846153846,0.8671586715867159,0.998769987699877,"[0.8634686346863468, 0.8708487084870848, 0.8708487084870848, 0.8683886838868389, 0.8659286592865929, 0.8696186961869619, 0.8659286592865929, 0.8671586715867159, 0.8610086100861009, 0.8745387453874539, 0.4907749077490775]",0.9009126466753585,0.9840185930542265,0.844988344988345,0.9840861591771084
sms,0,0.6513560804899388,0.672,0.976,"[0.502, 0.718, 0.618, 0.654, 0.742, 0.816, 0.776, 0.676, 0.73, 0.848, 0.906]",0.9781021897810219,0.2899632342965289,0.4821986258588382,0.2662270127442164
spambase,0,0.7771739130434783,0.7678958785249458,0.9327548806941431,"[0.7093275488069414, 0.737527114967462, 0.7722342733188721, 0.7787418655097614, 0.7527114967462039, 0.7613882863340564, 0.7744034707158352, 0.7765726681127982, 0.7744034707158352, 0.8394793926247288, 0.8568329718004338]",0.8888888888888888,0.686024010614874,0.5748865355521936,0.6734466663107497
tennis,0,0.8422413793103448,0.8014571948998178,0.8989071038251366,"[0.4763205828779599, 0.73224043715847, 0.7595628415300546, 0.7896174863387978, 0.7823315118397086, 0.8151183970856102, 0.819672131147541, 0.8324225865209471, 0.8278688524590164, 0.8406193078324226, 0.6794171220400729]",0.8655834564254062,0.9899329631755388,0.8095238095238095,0.986503287812368
yelp,0,0.6946052631578947,0.6868421052631579,0.8052631578947368,"[0.5539473684210526, 0.6123684210526316, 0.665, 0.6907894736842105, 0.64, 0.6873684210526316, 0.7186842105263158, 0.6710526315789473, 0.6986842105263158, 0.7073684210526315, 0.7031578947368421]",0.7841535850657616,0.5170585931625294,0.5511088011088011,0.5132070359122293
youtube,0,0.7276166456494325,0.864,0.888,"[0.648, 0.716, 0.736, 0.816, 0.768, 0.82, 0.856, 0.848, 0.816, 0.844, 0.864]",0.8954869358669834,0.5475957119848262,0.553763440860215,0.50982986634429
basketball,1,0.6387312186978297,0.6996726677577741,0.9549918166939444,"[0.35515548281505727, 0.5621931260229133, 0.5818330605564648, 0.6129296235679215, 0.6456628477905073, 0.7086743044189853, 0.6497545008183306, 0.776595744680851, 0.7021276595744681, 0.765139116202946, 0.8126022913256956]",0.9068085961036353,0.31659530022437166,0.3055416874687968,0.3113754619281177
cdr,1,0.665005931198102,0.6019687566873528,0.6811470147656752,"[0.5343462443826236, 0.5673015193665739, 0.5837791568585491, 0.5647335758613311, 0.5664455381981597, 0.5536058206719452, 0.5884870532848278, 0.6128825165846351, 0.6073186389899422, 0.5846351380269634, 0.6075326342820458]",0.8052299368800722,0.3656059937320635,0.6110753380553767,0.3959558868795693
census,1,0.6094803649345498,0.6219519685523003,0.8247036422824151,"[0.5847920889380259, 0.5991646704747866, 0.5919783797064062, 0.599103249186168, 0.5903814262023217, 0.6089306553651496, 0.6140286223204963, 0.6087463914992937, 0.6168540015969535, 0.6103433450033782, 0.6228118665929612]",0.6773448773448774,0.7733152825671273,0.4590995561192137,0.7899733096488071
commercial,1,0.8773740838920941,0.87940234791889,0.9517075773745998,"[0.6599519743863393, 0.7429295624332978, 0.7789487726787621, 0.8081643543223053, 0.758537886872999, 0.865128068303095, 0.883537886872999, 0.8816702241195304, 0.8972785485592316, 0.91448772678762, 0.9381003201707577]",0.9780783582089553,0.7870753165962272,0.5973352199033133,0.7972056186016883
imdb,1,0.7001,0.7244,0.7596,"[0.65, 0.6828, 0.6692, 0.7024, 0.6888, 0.7348, 0.7376, 0.7228, 0.7424, 0.7508, 0.7408]",0.808282208588957,0.4207294419508879,0.6730482347090999,0.43821635574922724
mushroom,1,0.8630769230769231,0.8671586715867159,1.0,"[0.6063960639606396, 0.8646986469864698, 0.8671586715867159, 0.8671586715867159, 0.8671586715867159, 0.8671586715867159, 0.8646986469864698, 0.8683886838868389, 0.8708487084870848, 0.8720787207872078, 0.6420664206642066]",0.8511655708308428,0.976439918393233,0.8744451490171211,0.9760194251198568
sms,1,0.6552930883639545,0.702,0.97,"[0.574, 0.67, 0.588, 0.792, 0.694, 0.67, 0.774, 0.744, 0.828, 0.87, 0.892]",0.972809667673716,0.27946394573548244,0.5166256157635468,0.2799696720141289
spambase,1,0.7690217391304348,0.7787418655097614,0.9219088937093276,"[0.6984815618221258, 0.735357917570499, 0.7418655097613883, 0.7657266811279827, 0.7288503253796096, 0.7765726681127982, 0.7982646420824295, 0.7960954446854663, 0.7874186550976139, 0.8568329718004338, 0.8438177874186551]",0.8700980392156863,0.6951259166355289,0.5698051948051948,0.6932912731819243
tennis,1,0.8390804597701149,0.8260473588342441,0.8561020036429873,"[0.4562841530054645, 0.6812386156648452, 0.7103825136612022, 0.7140255009107468, 0.7641165755919854, 0.8132969034608379, 0.7941712204007286, 0.7622950819672131, 0.8260473588342441, 0.8342440801457195, 0.8214936247723132]",0.8523245214220602,0.9874197908425338,0.6084656084656085,0.9848707974596038
yelp,1,0.6984210526315789,0.7094736842105264,0.7797368421052632,"[0.5734210526315789, 0.5986842105263158, 0.6576315789473685, 0.6313157894736842, 0.6981578947368421, 0.6655263157894736, 0.6707894736842105, 0.6760526315789473, 0.6676315789473685, 0.6713157894736842, 0.6960526315789474]",0.780783488628394,0.5022620917848322,0.5460816248323433,0.49798465921432994
youtube,1,0.7276166456494325,0.856,0.868,"[0.704, 0.624, 0.788, 0.764, 0.768, 0.84, 0.836, 0.816, 0.848, 0.9, 0.836]",0.8815165876777251,0.5645860106647274,0.5390835579514824,0.47163739326783255
basketball,2,0.6356149137451308,0.6980360065466449,0.9361702127659575,"[0.8576104746317512, 0.6366612111292962, 0.6554828150572831, 0.5270049099836334, 0.4705400981996727, 0.45990180032733224, 0.4500818330605565, 0.4099836333878887, 0.16530278232405893, 0.1039279869067103, 0.10065466448445172]",0.36507936507936506,0.3220275196290335,0.6414279217826284,0.32498263319449416
cdr,2,0.6465005931198102,0.6083886154504601,0.6781510806762251,"[0.5756473357586133, 0.5904130109137599, 0.5769313075112348, 0.5940509308795207, 0.5839931521506527, 0.6165204365503959, 0.5957628932163492, 0.6205863471003638, 0.6098865824951851, 0.5968328696768671, 0.6077466295741494]",0.7516218721037998,0.3820740628418214,0.6151147959183674,0.33121557538934443
census,2,0.6096786989289964,0.6247773478287575,0.8334868865548799,"[0.6131687242798354, 0.6146428352066826, 0.6062281186659296, 0.6029113690805233, 0.6133529881456913, 0.6172225293286653, 0.6213377556661138, 0.6134758307229286, 0.6134144094343099, 0.6242245562311898, 0.6176524783489957]",0.6774580335731415,0.7792410439634739,0.48007033997655335,0.7721930607751566
commercial,2,0.8776547637611103,0.9000800426894343,0.9533084311632871,"[0.606590181430096, 0.7553361792956244, 0.7359925293489862, 0.8143009605122732, 0.7837513340448239, 0.866462113127001, 0.8640608324439701, 0.8992796157950907, 0.9042155816435432, 0.9182230522945571, 0.9394343649946638]",0.9885487679900191,0.789193903016677,0.6189981292870506,0.7884587655358034
imdb,2,0.712,0.7632,0.7172,"[0.6964, 0.726, 0.7148, 0.7056, 0.7112, 0.7248, 0.736, 0.724, 0.7208, 0.7316, 0.7104]",0.8152492668621701,0.4136519380861052,0.6943029180176007,0.4503881416299416
mushroom,2,0.8590769230769231,0.8659286592865929,0.998769987699877,"[0.5867158671586716, 0.8720787207872078, 0.8573185731857319, 0.8646986469864698, 0.8622386223862238, 0.8683886838868389, 0.8708487084870848, 0.8646986469864698, 0.8683886838868389, 0.8720787207872078, 0.6039360393603936]",0.8511569731081926,0.9757044824085034,0.8667474258025439,0.9779576866168754
sms,2,0.6487314085739283,0.744,0.964,"[0.642, 0.512, 0.75, 0.812, 0.698, 0.694, 0.762, 0.756, 0.768, 0.842, 0.946]",0.9761904761904762,0.2695185722798157,0.49577294685990336,0.2254381509928834
spambase,2,0.7733695652173913,0.7787418655097614,0.9392624728850325,"[0.6963123644251626, 0.6811279826464208, 0.6854663774403471, 0.7809110629067245, 0.7505422993492408, 0.7765726681127982, 0.7874186550976139, 0.7809110629067245, 0.8004338394793926, 0.8156182212581344, 0.8763557483731019]",0.9028239202657807,0.6890865210360528,0.529874213836478,0.6933823151640907
tennis,2,0.8459770114942529,0.8123861566484517,0.8788706739526412,"[0.43989071038251365, 0.7003642987249544, 0.7112932604735883, 0.7477231329690346, 0.7914389799635702, 0.7950819672131147, 0.7923497267759563, 0.8032786885245902, 0.8378870673952641, 0.8342440801457195, 0.8169398907103825]",0.8614966807483404,0.988728305413851,0.536144578313253,0.9894872721568491
yelp,2,0.7001973684210526,0.6821052631578948,0.7947368421052632,"[0.5565789473684211, 0.621578947368421, 0.6576315789473685, 0.6468421052631579, 0.6897368421052632, 0.6713157894736842, 0.7039473684210527, 0.6523684210526316, 0.6847368421052632, 0.6928947368421052, 0.6857894736842105]",0.7861222762851703,0.5056573864519743,0.547859380438566,0.5080236066111171
youtube,2,0.725094577553594,0.864,0.892,"[0.636, 0.76, 0.832, 0.788, 0.772, 0.812, 0.868, 0.868, 0.876, 0.864, 0.82]",0.9070796460176991,0.5101515517461556,0.49853372434017595,0.5220185653555511
basketball,3,0.6355036171396773,0.7062193126022913,0.9410801963993454,"[0.6579378068739771, 0.5973813420621932, 0.5319148936170213, 0.49345335515548283, 0.4909983633387889, 0.4762684124386252, 0.28314238952536824, 0.397708674304419, 0.4075286415711948, 0.31014729950900166, 0.10065466448445172]",0.37640449438202245,0.32444549060927896,0.6407403201998411,0.32287062111195874
cdr,3,0.6612099644128114,0.6282901776160924,0.6809330194735715,"[0.5812112133533063, 0.594906912047935, 0.5553177830087738, 0.5966188743847636, 0.6122405307083244, 0.6051786860689065, 0.5996148084742136, 0.5912689920821742, 0.5910549967900706, 0.5925529638347956, 0.613952493045153]",0.7987364620938628,0.3652379456260312,0.6089475378178307,0.36925522952699946
census,3,0.6130503768345894,0.6171611080400466,0.8279589705792028,"[0.5797555432712979, 0.5954179718690498, 0.6051225354707942, 0.5980590872796512, 0.6056139057797433, 0.6060438548000737, 0.6153184693814876, 0.6115103494871322, 0.6026656839260488, 0.6258215097352743, 0.6279712548369265]",0.6877748460861918,0.7729202289631344,0.4555487431023912,0.7822272980224527
commercial,3,0.8772805239357555,0.8858057630736392,0.9478388473852721,"[0.6370064034151548, 0.7693436499466382, 0.7676093916755603, 0.7922892209178228, 0.839247598719317, 0.8633938100320171, 0.8914087513340448, 0.8948772678762006, 0.8935432230522946, 0.9216915688367129, 0.946504802561366]",0.9859750067427853,0.7871232359241881,0.6310214889499949,0.7848664905567007
imdb,3,0.7164,0.7416,0.7724,"[0.5576, 0.564, 0.6496, 0.6496, 0.714, 0.6356, 0.7196, 0.7436, 0.7192, 0.7312, 0.7064]",0.76478279819846,0.4290963561720312,0.6134103304459416,0.42610650187976046
mushroom,3,0.8664615384615385,0.8634686346863468,1.0,"[0.8204182041820418, 0.8671586715867159, 0.8622386223862238, 0.8683886838868389, 0.8683886838868389, 0.8610086100861009, 0.8646986469864698, 0.8708487084870848, 0.8646986469864698, 0.8696186961869619, 0.8659286592865929]",0.8520258367586612,0.9840307501148654,0.8836457659987071,0.9844443468072255
sms,3,0.6636045494313211,0.734,0.982,"[0.676, 0.756, 0.842, 0.792, 0.8, 0.74, 0.808, 0.784, 0.862, 0.906, 0.95]",0.9664536741214057,0.2776636447722678,0.5427710843373494,0.2606388739678283
spambase,3,0.7706521739130435,0.7765726681127982,0.9240780911062907,"[0.7158351409978309, 0.720173535791757, 0.7462039045553145, 0.7396963123644251, 0.7787418655097614, 0.7700650759219089, 0.7809110629067245, 0.789587852494577, 0.8026030368763557, 0.8286334056399133, 0.8676789587852495]",0.8879456706281834,0.7142005928091506,0.5574018126888217,0.6889445874947199
tennis,3,0.8373563218390805,0.8087431693989071,0.8460837887067395,"[0.42714025500910746, 0.6293260473588342, 0.7067395264116576, 0.7285974499089253, 0.73224043715847, 0.7859744990892532, 0.7641165755919854, 0.8114754098360656, 0.8269581056466302, 0.8397085610200364, 0.7950819672131147]",0.850629874025195,0.9901926238097422,0.5342465753424658,0.9936393239766921
yelp,3,0.6913815789473684,0.6681578947368421,0.7997368421052632,"[0.536578947368421, 0.6142105263157894, 0.5992105263157895, 0.6728947368421052, 0.6447368421052632, 0.6473684210526316, 0.6689473684210526, 0.6628947368421053, 0.6821052631578948, 0.6942105263157895, 0.6818421052631579]",0.77439674387053,0.5203152529417067,0.5138291333743086,0.5043511977407912
youtube,3,0.7049180327868853,0.804,0.856,"[0.536, 0.668, 0.78, 0.748, 0.752, 0.812, 0.82, 0.792, 0.808, 0.832, 0.812]",0.8867924528301887,0.5297913085123359,0.43670886075949367,0.5537807921087022
basketball,4,0.6410684474123539,0.6497545008183306,0.9549918166939444,"[0.7872340425531915, 0.5310965630114566, 0.44680851063829785, 0.40180032733224225, 0.43044189852700493, 0.4402618657937807, 0.43617021276595747, 0.1939443535188216, 0.12438625204582651, 0.35842880523731585, 0.10065466448445172]",0.3575418994413408,0.3312335529830332,0.6468317056552351,0.28024102020382
cdr,4,0.6543297746144722,0.6169484271346031,0.680719024181468,"[0.581853199229617, 0.5653755617376418, 0.560239674727156, 0.5946929167558314, 0.5968328696768671, 0.5831371709822384, 0.5891290391611385, 0.6190883800556388, 0.6105285683714958, 0.6049646907768029, 0.6051786860689065]",0.7932604735883424,0.3692502333190658,0.6108437600256656,0.386505430891283
census,4,0.6118603728679095,0.6113260856212763,0.8336711504207358,"[0.5967692402186597, 0.5999017259382102, 0.6185123763896566, 0.6109575578895645, 0.6185737976782753, 0.6061052760886924, 0.6169154228855721, 0.6053682206252687, 0.6187580615441312, 0.6119402985074627, 0.6137829371660217]",0.6715116279069767,0.7765922357483511,0.4818976279650437,0.7686174638480491
commercial,4,0.8798378294090129,0.8892742796157951,0.9493062966915689,"[0.5440234791889007, 0.6237993596584845, 0.6918356456776947, 0.7163820704375667, 0.7650747065101388, 0.8100320170757738, 0.8305763073639274, 0.8731323372465315, 0.9024813233724653, 0.9191568836712913, 0.9406350053361793]",0.9731580175834436,0.7886170437085877,0.5025165146272412,0.7088586312094415
imdb,4,0.7105,0.752,0.7408,"[0.5256, 0.542, 0.544, 0.6692, 0.6504, 0.6868, 0.7132, 0.6996, 0.7108, 0.7352, 0.7236]",0.7703571917339538,0.5539027992671556,0.5595989602673598,0.5559049562374401
mushroom,4,0.8507692307692307,0.8585485854858549,0.993849938499385,"[0.7810578105781057, 0.8646986469864698, 0.8560885608856088, 0.8536285362853628, 0.8646986469864698, 0.8683886838868389, 0.8646986469864698, 0.8622386223862238, 0.8671586715867159, 0.8671586715867159, 0.5399753997539976]",0.841187863137508,0.9759150644839367,0.8589065255731922,0.9768327768141293
sms,4,0.6395450568678915,0.612,0.98,"[0.608, 0.652, 0.682, 0.696, 0.76, 0.76, 0.724, 0.824, 0.85, 0.834, 0.936]",0.9674418604651163,0.2980669458920064,0.5161486898232784,0.31192279294506053
spambase,4,0.7603260869565217,0.7635574837310195,0.9197396963123644,"[0.6789587852494577, 0.7266811279826464, 0.7700650759219089, 0.7678958785249458, 0.7700650759219089, 0.7917570498915402, 0.7722342733188721, 0.7678958785249458, 0.7744034707158352, 0.8134490238611713, 0.8503253796095445]",0.8880407124681934,0.6667740018765798,0.5325264750378215,0.6940899152070175
tennis,4,0.8405172413793104,0.8178506375227687,0.8788706739526412,"[0.4453551912568306, 0.7468123861566485, 0.7167577413479053, 0.7668488160291439, 0.8142076502732241, 0.8014571948998178, 0.8187613843351548, 0.8387978142076503, 0.843351548269581, 0.8515482695810564, 0.8424408014571949]",0.886438809261301,0.9862488613959817,0.790516206482593,0.9881650839827293
yelp,4,0.6885526315789474,0.6657894736842105,0.7942105263157895,"[0.5707894736842105, 0.6542105263157895, 0.6107894736842105, 0.5752631578947368, 0.6981578947368421, 0.6547368421052632, 0.6413157894736842, 0.67, 0.6839473684210526, 0.7039473684210527, 0.6789473684210526]",0.7728053338721083,0.5536209683153969,0.5359366157328805,0.5620036649485617
youtube,4,0.7414880201765448,0.872,0.868,"[0.616, 0.652, 0.608, 0.716, 0.748, 0.78, 0.776, 0.84, 0.836, 0.808, 0.84]",0.8848484848484849,0.5651299330839467,0.5033557046979866,0.47269309103340823
basketball,5,0.6313856427378965,0.7454991816693944,0.9599018003273322,"[0.2430441898527005, 0.5008183306055647, 0.5261865793780688, 0.5826513911620295, 0.6211129296235679, 0.676759410801964, 0.67430441898527, 0.7528641571194763, 0.7127659574468085, 0.7888707037643208, 0.8649754500818331]",0.9502427184466019,0.3062841738408531,0.2412769116555308,0.3053708885170464
cdr,5,0.6880189798339265,0.6079606248662529,0.6927027605392682,"[0.568799486411299, 0.5726514016691633, 0.5741493687138883, 0.5812112133533063, 0.609458591910978, 0.6105285683714958, 0.6058206719452172, 0.613952493045153, 0.6133105071688423, 0.6165204365503959, 0.6150224695056709]",0.7986688851913477,0.3713548844382876,0.6398937935612347,0.3806606791576178
census,5,0.5993653312177707,0.6217062833978256,0.8223082120262883,"[0.5890301578527117, 0.5942509673852957, 0.6063509612431669, 0.6077636508813955, 0.6094220256740986, 0.5986733001658375, 0.6019286284626252, 0.612554511393649, 0.6025428413488115, 0.6212763343774952, 0.6236717646336221]",0.6804625684723068,0.7792282957672946,0.44703872437357633,0.7882908181524986
commercial,5,0.8810541088414159,0.9076840981856991,0.9498399146211313,"[0.6599519743863393, 0.6810298826040555, 0.7422625400213447, 0.8172358591248666, 0.8520544290288153, 0.8513874066168623, 0.8788687299893276, 0.8818036286019211, 0.8996798292422625, 0.927427961579509, 0.9493062966915689]",0.9912636224443844,0.7870222233209231,0.6328228015011664,0.7870425409760868
imdb,5,0.7001,0.75,0.764,"[0.6536, 0.6508, 0.7016, 0.7008, 0.7076, 0.7448, 0.71, 0.7204, 0.7328, 0.7396, 0.752]",0.7860727728983689,0.4015032752569917,0.6805852962169878,0.3853006994553695
mushroom,5,0.8695384615384616,0.8671586715867159,0.991389913899139,"[0.7281672816728167, 0.8659286592865929, 0.8671586715867159, 0.8671586715867159, 0.8671586715867159, 0.8671586715867159, 0.8671586715867159, 0.8708487084870848, 0.8671586715867159, 0.8769987699876999, 0.7589175891758918]",0.8699654775604143,0.9842616152960397,0.8690476190476191,0.9838225065071026
sms,5,0.668416447944007,0.7,0.978,"[0.52, 0.646, 0.704, 0.804, 0.716, 0.754, 0.738, 0.75, 0.838, 0.822, 0.904]",0.9689922480620154,0.27424173451233186,0.5338208409506399,0.3116169515622136
spambase,5,0.7673913043478261,0.7874186550976139,0.9327548806941431,"[0.6789587852494577, 0.7288503253796096, 0.7505422993492408, 0.7635574837310195, 0.7700650759219089, 0.7852494577006508, 0.7787418655097614, 0.7765726681127982, 0.7744034707158352, 0.8199566160520607, 0.8676789587852495]",0.8945548833189283,0.6822852127859763,0.5534407027818448,0.7063585911671177
tennis,5,0.8445402298850575,0.8178506375227687,0.8806921675774135,"[0.46357012750455373, 0.7040072859744991, 0.6912568306010929, 0.7659380692167578, 0.7550091074681239, 0.7404371584699454, 0.7868852459016393, 0.7504553734061931, 0.8087431693989071, 0.8142076502732241, 0.836976320582878]",0.8608669293725372,0.989777603453542,0.5469613259668509,0.990408446491464
yelp,5,0.7011842105263157,0.6552631578947369,0.7907894736842105,"[0.593421052631579, 0.6252631578947369, 0.6297368421052632, 0.7186842105263158, 0.6568421052631579, 0.6810526315789474, 0.6831578947368421, 0.6473684210526316, 0.67, 0.6907894736842105, 0.658157894736842]",0.7819788348916059,0.506403028639698,0.5564294860069507,0.49794820608561646
youtube,5,0.7377049180327869,0.86,0.896,"[0.728, 0.84, 0.828, 0.824, 0.82, 0.856, 0.816, 0.852, 0.828, 0.852, 0.812]",0.8735955056179775,0.5162621336474259,0.6064073226544623,0.502447681853153
